Index	xSource	ySource	xTarget	yTarget
    0	    102	    100	     84	     98
    1	    206	    100	    196	     96
    2	    100	    208	     86	    206
    3	   1732	    100	   1750	    100
    4	   1834	    104	   1858	     96
    5	   1836	    214	   1860	    206
    6	   1838	   1092	   1862	   1096
    7	   1836	   1200	   1860	   1206
    8	   1730	   1204	   1750	   1208
    9	    210	   1206	    194	   1206
   10	    104	   1202	     82	   1208
   11	    102	   1094	     86	   1098
   12	    860	    650	    862	    654
   13	   1084	    650	   1084	    652
   14	    970	    650	    972	    652
   15	    972	    536	    974	    542
   16	    972	    766	    972	    764
   17	    526	    312	    528	    320
   18	   1304	    310	   1306	    316
   19	   1304	    764	   1304	    764
   20	    638	    876	    638	    876
   21	    416	    650	    416	    650
   22	   1524	    540	   1530	    542
   23	   1632	    876	   1640	    874
   24	   1738	    540	   1752	    542
   25	    200	    540	    196	    542
   26	    200	    762	    194	    768
