Index	xSource	ySource	xTarget	yTarget
    0	    330	    392	    330	    392
    1	    433	    389	    433	    389
    2	    538	    386	    538	    386
    3	    645	    385	    644	    384
    4	    753	    382	    753	    382
    5	    862	    381	    862	    381
    6	    973	    380	    973	    379
    7	   1085	    378	   1084	    378
    8	   1196	    378	   1196	    377
    9	   1308	    378	   1308	    377
   10	   1420	    378	   1420	    377
   11	   1531	    377	   1531	    377
   12	   1642	    377	   1642	    377
   13	   1753	    379	   1752	    378
   14	   1861	    380	   1861	    379
   15	    330	    500	    330	    500
   16	    434	    498	    433	    497
   17	    539	    497	    538	    496
   18	    646	    495	    645	    494
   19	    754	    494	    753	    493
   20	    863	    492	    863	    491
   21	    974	    491	    974	    491
   22	   1085	    489	   1084	    489
   23	   1197	    490	   1196	    489
   24	   1309	    490	   1308	    489
   25	   1421	    489	   1420	    489
   26	   1533	    489	   1532	    489
   27	   1643	    490	   1642	    489
   28	   1752	    490	   1752	    490
   29	   1862	    491	   1862	    491
   30	    332	    607	    331	    607
   31	    434	    607	    433	    606
   32	    539	    606	    539	    605
   33	    647	    604	    645	    604
   34	    754	    604	    754	    603
   35	    863	    603	    863	    603
   36	    974	    603	    974	    602
   37	   1085	    601	   1085	    601
   38	   1196	    601	   1196	    601
   39	   1308	    601	   1308	    601
   40	   1421	    601	   1420	    600
   41	   1533	    601	   1532	    601
   42	   1643	    601	   1643	    601
   43	   1753	    600	   1752	    601
   44	   1862	    601	   1861	    601
   45	    332	    716	    332	    715
   46	    434	    715	    434	    715
   47	    540	    715	    540	    715
   48	    647	    715	    646	    714
   49	    755	    713	    754	    713
   50	    865	    715	    864	    714
   51	    974	    714	    975	    713
   52	   1085	    713	   1085	    713
   53	   1197	    714	   1197	    713
   54	   1308	    713	   1308	    713
   55	   1421	    714	   1419	    713
   56	   1532	    714	   1531	    713
   57	   1642	    714	   1642	    713
   58	   1751	    714	   1751	    713
   59	   1861	    714	   1860	    713
   60	    334	    823	    333	    823
   61	    436	    823	    436	    823
   62	    542	    823	    541	    823
   63	    647	    825	    647	    823
   64	    755	    825	    755	    824
   65	    865	    825	    864	    824
   66	    975	    825	    975	    824
   67	   1086	    824	   1085	    824
   68	   1197	    824	   1197	    824
   69	   1309	    825	   1308	    824
   70	   1420	    825	   1419	    824
   71	   1531	    825	   1530	    824
   72	   1641	    824	   1641	    824
   73	   1751	    825	   1750	    824
   74	   1859	    824	   1858	    823
   75	    336	    930	    336	    930
   76	    439	    931	    439	    931
   77	    543	    932	    543	    932
   78	    649	    933	    649	    933
   79	    757	    934	    756	    933
   80	    866	    934	    865	    934
   81	    976	    934	    975	    934
   82	   1085	    935	   1085	    935
   83	   1196	    936	   1196	    935
   84	   1309	    935	   1308	    935
   85	   1419	    936	   1419	    935
   86	   1530	    935	   1530	    935
   87	   1640	    935	   1639	    934
   88	   1749	    935	   1749	    935
   89	   1857	    933	   1857	    933
   90	    338	   1036	    338	   1036
   91	    442	   1038	    440	   1038
   92	    545	   1039	    545	   1039
   93	    650	   1040	    651	   1040
   94	    759	   1044	    758	   1042
   95	    867	   1042	    866	   1043
   96	    977	   1044	    976	   1044
   97	   1085	   1044	   1086	   1044
   98	   1196	   1046	   1196	   1045
   99	   1308	   1046	   1307	   1045
  100	   1417	   1045	   1417	   1045
  101	   1529	   1045	   1529	   1045
  102	   1639	   1045	   1638	   1045
  103	   1747	   1044	   1746	   1043
  104	   1854	   1042	   1854	   1042
