Index	xSource	ySource	xTarget	yTarget
    0	   2050	   1359	   2085	   1379
    1	   1844	   1363	   1862	   1380
    2	   1738	   1364	   1751	   1381
    3	   1521	   1367	   1528	   1381
    4	   1195	   1367	   1196	   1379
    5	   1086	   1366	   1085	   1380
    6	    870	   1363	    863	   1381
    7	    764	   1360	    752	   1381
    8	    450	   1352	    420	   1380
    9	    153	   1340	     86	   1381
   10	   2057	   1252	   2085	   1269
   11	   1953	   1255	   1973	   1269
   12	   1740	   1260	   1751	   1271
   13	   1305	   1263	   1306	   1270
   14	    976	   1259	    975	   1269
   15	    762	   1255	    751	   1270
   16	    655	   1253	    642	   1269
   17	    550	   1252	    530	   1270
   18	    345	   1246	    308	   1270
   19	    246	   1242	    196	   1270
   20	    148	   1238	     85	   1269
   21	   1957	   1150	   1973	   1159
   22	   1850	   1150	   1863	   1158
   23	   1417	   1154	   1418	   1158
   24	   1307	   1154	   1307	   1158
   25	   1197	   1154	   1198	   1158
   26	    978	   1152	    975	   1158
   27	    760	   1150	    751	   1158
   28	    653	   1148	    641	   1159
   29	    443	   1144	    420	   1158
   30	    342	   1143	    308	   1158
   31	   2066	   1039	   2083	   1047
   32	   1746	   1043	   1751	   1048
   33	   1417	   1044	   1418	   1048
   34	    758	   1043	    752	   1047
   35	    442	   1038	    419	   1047
   36	    238	   1034	    196	   1048
   37	    140	   1032	     86	   1047
   38	   2068	    931	   2085	    937
   39	   1964	    933	   1974	    935
   40	   1857	    933	   1862	    936
   41	   1750	    934	   1750	    934
   42	   1530	    935	   1529	    936
   43	   1308	    934	   1307	    937
   44	   1085	    935	   1085	    935
   45	    865	    934	    864	    935
   46	    648	    932	    641	    938
   47	    542	    934	    529	    936
   48	    335	    930	    308	    936
   49	   1966	    824	   1972	    824
   50	   1752	    823	   1750	    825
   51	   1640	    823	   1641	    825
   52	   1419	    824	   1418	    825
   53	   1197	    824	   1197	    824
   54	   1085	    824	   1085	    827
   55	    974	    824	    973	    826
   56	    755	    824	    752	    825
   57	    436	    822	    418	    824
   58	    332	    822	    307	    826
   59	    134	    823	     86	    825
   60	   1861	    712	   1862	    714
   61	   1532	    712	   1528	    713
   62	   1419	    713	   1419	    715
   63	   1085	    714	   1086	    714
   64	    864	    713	    865	    715
   65	    754	    714	    753	    714
   66	    541	    715	    529	    713
   67	    435	    713	    418	    714
   68	    230	    715	    198	    714
   69	   2074	    602	   2084	    604
   70	   1969	    603	   1973	    602
   71	   1862	    602	   1862	    602
   72	   1753	    602	   1751	    602
   73	   1642	    601	   1642	    603
   74	   1420	    601	   1419	    605
   75	   1308	    600	   1308	    602
   76	   1197	    601	   1194	    602
   77	    973	    603	    973	    603
   78	    645	    605	    643	    603
   79	    433	    606	    420	    604
   80	    229	    609	    197	    603
   81	   1969	    493	   1974	    493
   82	   1861	    489	   1862	    491
   83	   1641	    490	   1641	    492
   84	   1420	    488	   1419	    492
   85	   1196	    489	   1197	    492
   86	   1084	    490	   1085	    489
   87	    862	    491	    860	    491
   88	    754	    492	    753	    492
   89	    433	    497	    419	    491
   90	    229	    501	    198	    491
   91	   2076	    382	   2085	    381
   92	   1752	    378	   1751	    381
   93	   1532	    377	   1529	    380
   94	   1420	    377	   1417	    381
   95	    862	    381	    864	    381
   96	    538	    386	    530	    382
   97	    130	    398	     86	    380
   98	   2074	    273	   2084	    269
   99	   1968	    270	   1972	    269
  100	   1860	    269	   1861	    270
  101	   1642	    266	   1641	    270
  102	   1531	    266	   1529	    270
  103	   1308	    266	   1307	    270
  104	   1084	    268	   1085	    266
  105	    862	    270	    863	    270
  106	    753	    273	    752	    270
  107	    331	    284	    307	    272
  108	   1857	    158	   1862	    160
  109	   1641	    156	   1640	    159
  110	   1307	    157	   1307	    160
  111	    862	    162	    862	    160
  112	    754	    163	    751	    159
  113	    538	    169	    530	    159
  114	    436	    173	    420	    160
  115	    232	    182	    197	    159
  116	   2068	     56	   2084	     48
  117	   1749	     49	   1752	     48
  118	   1529	     46	   1529	     47
  119	   1084	     48	   1084	     49
  120	    134	     84	     86	     49
  121	    334	     72	    308	     48
  122	    648	     60	    641	     49
  123	   1306	     46	   1307	     48
  124	    330	    392	    309	    380
  125	   1642	    713	   1640	    714
  126	    332	    716	    307	    715
  127	    976	   1045	    974	   1047
  128	   1308	   1045	   1307	   1047
  129	   1638	   1045	   1639	   1046
  130	   1960	   1042	   1973	   1048
  131	   1305	   1368	   1307	   1381
  132	    658	   1358	    641	   1378
  133	    349	   1349	    309	   1380
