Index	xSource	ySource	xTarget	yTarget
    0	    320	   1376	    309	   1380
    1	    644	   1382	    641	   1378
    2	   1314	   1380	   1307	   1381
    3	   1968	   1044	   1973	   1048
    4	   1638	   1045	   1639	   1046
    5	   1318	   1054	   1307	   1047
    6	    976	   1054	    974	   1047
    7	    294	    714	    307	    715
    8	   1642	    713	   1640	    714
    9	    290	    376	    309	    380
   10	   1312	     36	   1307	     48
   11	    628	     34	    641	     49
   12	    292	     42	    308	     48
   13	     74	     46	     86	     49
   14	   1080	     36	   1084	     49
   15	   1534	     44	   1529	     47
   16	   1754	     52	   1752	     48
   17	   2068	     64	   2084	     48
   18	    184	    154	    197	    159
   19	    404	    150	    420	    160
   20	    512	    146	    530	    159
   21	    740	    148	    751	    159
   22	    856	    146	    862	    160
   23	   1310	    148	   1307	    160
   24	   1648	    156	   1640	    159
   25	   1864	    164	   1862	    160
   26	    290	    264	    307	    272
   27	    740	    258	    752	    270
   28	    854	    260	    863	    270
   29	   1084	    268	   1085	    266
   30	   1314	    260	   1307	    270
   31	   1538	    264	   1529	    270
   32	   1648	    268	   1641	    270
   33	   1864	    274	   1861	    270
   34	   1970	    276	   1972	    269
   35	   2076	    282	   2084	    269
   36	     74	    378	     86	    380
   37	    514	    374	    530	    382
   38	    854	    370	    864	    381
   39	   1428	    376	   1417	    381
   40	   1538	    378	   1529	    380
   41	   1760	    382	   1751	    381
   42	   2076	    392	   2085	    381
   43	    186	    490	    198	    491
   44	    400	    486	    419	    491
   45	    742	    488	    753	    492
   46	    852	    484	    860	    491
   47	   1084	    490	   1085	    489
   48	   1196	    489	   1197	    492
   49	   1420	    488	   1419	    492
   50	   1650	    494	   1641	    492
   51	   1868	    496	   1862	    491
   52	   1972	    498	   1974	    493
   53	    184	    600	    197	    603
   54	    404	    602	    420	    604
   55	    628	    600	    643	    603
   56	    973	    603	    973	    603
   57	   1197	    601	   1194	    602
   58	   1308	    600	   1308	    602
   59	   1420	    601	   1419	    605
   60	   1648	    606	   1642	    603
   61	   1762	    606	   1751	    602
   62	   1868	    606	   1862	    602
   63	   1974	    608	   1973	    602
   64	   2076	    610	   2084	    604
   65	    184	    716	    198	    714
   66	    406	    714	    418	    714
   67	    520	    716	    529	    713
   68	    744	    712	    753	    714
   69	    864	    713	    865	    715
   70	   1085	    714	   1086	    714
   71	   1419	    713	   1419	    715
   72	   1532	    712	   1528	    713
   73	   1861	    712	   1862	    714
   74	     80	    826	     86	    825
   75	    298	    824	    307	    826
   76	    408	    830	    418	    824
   77	    746	    828	    752	    825
   78	    974	    824	    973	    826
   79	   1085	    824	   1085	    827
   80	   1197	    824	   1197	    824
   81	   1428	    830	   1418	    825
   82	   1650	    830	   1641	    825
   83	   1760	    832	   1750	    825
   84	   1972	    828	   1972	    824
   85	    300	    940	    308	    936
   86	    522	    940	    529	    936
   87	    636	    940	    641	    938
   88	    860	    942	    864	    935
   89	   1088	    940	   1085	    935
   90	   1316	    944	   1307	    937
   91	   1542	    942	   1529	    936
   92	   1758	    940	   1750	    934
   93	   1868	    938	   1862	    936
   94	   1970	    936	   1974	    935
   95	   2072	    938	   2085	    937
   96	     90	   1050	     86	   1047
   97	    196	   1050	    196	   1048
   98	    414	   1050	    419	   1047
   99	    758	   1043	    752	   1047
  100	   1430	   1054	   1418	   1048
  101	   1758	   1052	   1751	   1048
  102	   2068	   1044	   2083	   1047
  103	    308	   1160	    308	   1158
  104	    416	   1162	    420	   1158
  105	    642	   1162	    641	   1159
  106	    752	   1164	    751	   1158
  107	    976	   1166	    975	   1158
  108	   1204	   1166	   1198	   1158
  109	   1318	   1166	   1307	   1158
  110	   1426	   1166	   1418	   1158
  111	   1860	   1156	   1863	   1158
  112	   1964	   1152	   1973	   1159
  113	    102	   1262	     85	   1269
  114	    208	   1264	    196	   1270
  115	    316	   1268	    308	   1270
  116	    534	   1270	    530	   1270
  117	    646	   1274	    642	   1269
  118	    754	   1272	    751	   1270
  119	    978	   1276	    975	   1269
  120	   1316	   1276	   1306	   1270
  121	   1740	   1260	   1751	   1271
  122	   1962	   1260	   1973	   1269
  123	   2064	   1254	   2085	   1269
  124	    108	   1368	     86	   1381
  125	    428	   1378	    420	   1380
  126	    758	   1382	    752	   1381
  127	    870	   1382	    863	   1381
  128	   1094	   1384	   1085	   1380
  129	   1204	   1380	   1196	   1379
  130	   1536	   1376	   1528	   1381
  131	   1750	   1374	   1751	   1381
  132	   1854	   1368	   1862	   1380
  133	   2058	   1362	   2085	   1379
