Index	xSource	ySource	xTarget	yTarget
    0	    349	   1349	    348	   1350
    1	    658	   1358	    657	   1358
    2	    978	   1366	    976	   1366
    3	   1305	   1368	   1300	   1375
    4	   1629	   1366	   1633	   1364
    5	   1948	   1360	   1948	   1358
    6	   1960	   1042	   1961	   1041
    7	   1638	   1045	   1638	   1045
    8	   1308	   1045	   1308	   1045
    9	    976	   1045	    976	   1045
   10	    650	   1041	    652	   1041
   11	    338	   1036	    338	   1038
   12	    332	    716	    332	    716
   13	    647	    715	    653	    717
   14	    974	    714	    976	    713
   15	   1309	    713	   1309	    717
   16	   1642	    713	   1641	    712
   17	   1967	    713	   1968	    714
   18	   1969	    381	   1969	    381
   19	   1642	    378	   1642	    378
   20	   1308	    378	   1308	    380
   21	    973	    380	    974	    378
   22	    645	    384	    646	    386
   23	    330	    392	    332	    393
   24	   1964	     53	   1964	     53
   25	   1638	     46	   1640	     46
   26	   1306	     46	   1304	     46
   27	    973	     50	    974	     52
   28	    648	     60	    646	     61
   29	    334	     72	    333	     73
   30	    134	     84	    134	     84
   31	    234	     77	    234	     77
   32	    435	     67	    437	     66
   33	    542	     62	    542	     62
   34	    754	     56	    753	     56
   35	    861	     53	    864	     54
   36	   1084	     48	   1084	     49
   37	   1195	     46	   1193	     48
   38	   1416	     45	   1416	     45
   39	   1529	     46	   1529	     46
   40	   1749	     49	   1749	     49
   41	   1856	     50	   1856	     50
   42	   2068	     56	   2068	     56
   43	    132	    188	    132	    188
   44	    232	    182	    232	    182
   45	    332	    178	    332	    178
   46	    436	    173	    436	    173
   47	    538	    169	    541	    170
   48	    646	    167	    648	    168
   49	    754	    163	    756	    162
   50	    862	    162	    862	    162
   51	    973	    159	    974	    158
   52	   1084	    158	   1084	    158
   53	   1196	    157	   1194	    156
   54	   1307	    157	   1306	    154
   55	   1418	    155	   1417	    154
   56	   1529	    155	   1529	    154
   57	   1641	    156	   1641	    156
   58	   1749	    158	   1750	    160
   59	   1857	    158	   1857	    158
   60	   1966	    161	   1966	    161
   61	   2073	    164	   2073	    164
   62	    130	    292	    129	    293
   63	    230	    288	    232	    288
   64	    331	    284	    333	    284
   65	    434	    282	    434	    282
   66	    538	    278	    538	    278
   67	    646	    275	    646	    276
   68	    753	    273	    753	    273
   69	    862	    270	    862	    270
   70	    972	    268	    974	    269
   71	   1084	    268	   1085	    266
   72	   1196	    266	   1194	    266
   73	   1308	    266	   1308	    264
   74	   1419	    265	   1420	    265
   75	   1531	    266	   1532	    268
   76	   1642	    266	   1642	    266
   77	   1750	    268	   1750	    268
   78	   1860	    269	   1861	    269
   79	   1968	    270	   1968	    270
   80	   2074	    273	   2074	    273
   81	    130	    398	    130	    398
   82	    228	    395	    230	    396
   83	    433	    389	    433	    389
   84	    538	    386	    540	    386
   85	    753	    382	    752	    381
   86	    862	    381	    862	    380
   87	   1084	    378	   1085	    377
   88	   1196	    377	   1194	    377
   89	   1420	    377	   1418	    377
   90	   1532	    377	   1532	    377
   91	   1752	    378	   1750	    377
   92	   1861	    378	   1861	    378
   93	   2076	    382	   2076	    382
   94	    129	    504	    129	    504
   95	    229	    501	    230	    501
   96	    330	    500	    330	    500
   97	    433	    497	    434	    497
   98	    538	    496	    538	    497
   99	    645	    494	    645	    494
  100	    754	    492	    754	    492
  101	    862	    491	    862	    490
  102	    973	    491	    974	    490
  103	   1084	    490	   1085	    489
  104	   1196	    489	   1197	    490
  105	   1308	    488	   1308	    488
  106	   1420	    488	   1420	    488
  107	   1532	    488	   1532	    490
  108	   1641	    490	   1642	    492
  109	   1753	    490	   1753	    490
  110	   1861	    489	   1860	    492
  111	   1969	    493	   1969	    493
  112	   2073	    494	   2073	    494
  113	    129	    609	    129	    613
  114	    229	    609	    228	    610
  115	    330	    607	    332	    606
  116	    433	    606	    432	    606
  117	    538	    605	    537	    606
  118	    645	    605	    645	    605
  119	    754	    604	    754	    605
  120	    865	    603	    865	    603
  121	    973	    603	    973	    603
  122	   1085	    601	   1084	    603
  123	   1197	    601	   1194	    602
  124	   1308	    600	   1308	    602
  125	   1420	    601	   1421	    602
  126	   1531	    600	   1533	    602
  127	   1642	    601	   1642	    603
  128	   1753	    602	   1753	    602
  129	   1862	    602	   1862	    602
  130	   1969	    603	   1969	    603
  131	   2074	    602	   2074	    602
  132	    132	    715	    132	    715
  133	    230	    715	    230	    715
  134	    435	    713	    436	    716
  135	    541	    715	    541	    715
  136	    754	    714	    753	    712
  137	    864	    713	    865	    715
  138	   1085	    714	   1086	    714
  139	   1197	    714	   1197	    714
  140	   1419	    713	   1421	    712
  141	   1532	    712	   1533	    712
  142	   1752	    712	   1752	    712
  143	   1861	    712	   1861	    712
  144	   2074	    712	   2074	    712
  145	    134	    823	    134	    823
  146	    232	    823	    232	    824
  147	    332	    822	    333	    820
  148	    436	    822	    438	    820
  149	    542	    823	    542	    823
  150	    648	    823	    648	    823
  151	    755	    824	    754	    823
  152	    864	    825	    866	    823
  153	    974	    824	    973	    826
  154	   1085	    824	   1088	    824
  155	   1197	    824	   1197	    824
  156	   1308	    824	   1309	    824
  157	   1419	    824	   1420	    823
  158	   1530	    824	   1530	    824
  159	   1640	    823	   1640	    823
  160	   1752	    823	   1752	    823
  161	   1858	    823	   1858	    823
  162	   1966	    824	   1964	    823
  163	   2070	    822	   2070	    822
  164	    136	    927	    137	    928
  165	    234	    928	    234	    928
  166	    335	    930	    337	    928
  167	    440	    932	    440	    932
  168	    542	    934	    542	    934
  169	    648	    932	    648	    932
  170	    756	    932	    756	    932
  171	    865	    934	    864	    935
  172	    975	    934	    974	    935
  173	   1085	    935	   1085	    935
  174	   1196	    935	   1196	    935
  175	   1308	    934	   1308	    934
  176	   1419	    936	   1420	    935
  177	   1530	    935	   1530	    935
  178	   1640	    934	   1640	    934
  179	   1750	    934	   1750	    934
  180	   1857	    933	   1858	    935
  181	   1964	    933	   1965	    934
  182	   2068	    931	   2068	    931
  183	    140	   1032	    140	   1035
  184	    238	   1034	    238	   1034
  185	    442	   1038	    442	   1038
  186	    545	   1040	    545	   1040
  187	    758	   1043	    758	   1043
  188	    866	   1043	    865	   1042
  189	   1086	   1044	   1086	   1043
  190	   1196	   1045	   1197	   1047
  191	   1417	   1044	   1417	   1044
  192	   1528	   1045	   1528	   1046
  193	   1746	   1043	   1749	   1044
  194	   1853	   1043	   1853	   1043
  195	   2066	   1039	   2066	   1039
  196	    143	   1136	    145	   1136
  197	    241	   1139	    241	   1139
  198	    342	   1143	    342	   1143
  199	    443	   1144	    444	   1143
  200	    548	   1146	    549	   1147
  201	    653	   1148	    653	   1148
  202	    760	   1150	    760	   1150
  203	    868	   1151	    869	   1152
  204	    978	   1152	    978	   1152
  205	   1086	   1153	   1086	   1154
  206	   1197	   1154	   1197	   1154
  207	   1307	   1154	   1306	   1155
  208	   1417	   1154	   1417	   1154
  209	   1526	   1154	   1526	   1154
  210	   1636	   1152	   1636	   1152
  211	   1745	   1152	   1745	   1152
  212	   1850	   1150	   1850	   1150
  213	   1957	   1150	   1957	   1150
  214	   2061	   1146	   2061	   1146
  215	    148	   1238	    148	   1238
  216	    246	   1242	    246	   1242
  217	    345	   1246	    345	   1246
