Index	xSource	ySource	xTarget	yTarget
    0	     38	     89	     37	     88
    1	    334	     72	    333	     73
    2	    648	     60	    646	     61
    3	    973	     50	    974	     52
    4	   1307	     46	   1304	     46
    5	   1638	     46	   1640	     46
    6	   1964	     53	   1964	     53
    7	     34	    401	     32	    400
    8	    330	    392	    332	    393
    9	    645	    386	    646	    386
   10	    973	    380	    974	    378
   11	   1308	    378	   1308	    380
   12	   1642	    378	   1642	    378
   13	   1969	    381	   1969	    381
   14	   1967	    713	   1968	    714
   15	   1643	    713	   1641	    712
   16	   1309	    713	   1309	    717
   17	    974	    714	    976	    713
   18	    647	    715	    653	    717
   19	    332	    716	    332	    716
   20	     36	    717	     36	    717
   21	     44	   1030	     41	   1032
   22	    338	   1036	    338	   1038
   23	    650	   1042	    652	   1041
   24	    976	   1045	    976	   1045
   25	   1308	   1045	   1308	   1045
   26	   1638	   1045	   1638	   1045
   27	   1960	   1042	   1961	   1041
   28	   1948	   1360	   1948	   1358
   29	   1629	   1366	   1633	   1364
   30	   1304	   1369	   1300	   1375
   31	    978	   1366	    976	   1366
   32	    658	   1358	    657	   1358
   33	    349	   1349	    348	   1350
   34	     57	   1336	     58	   1335
