Index	xSource	ySource	xTarget	yTarget
    0	     57	    218	     57	    218
    1	     83	    218	     83	    218
    2	    110	    218	    110	    218
    3	    137	    218	    137	    218
    4	    163	    217	    164	    218
    5	    185	    215	    191	    218
    6	    212	    190	    217	    193
    7	    214	    165	    218	    166
    8	    218	    139	    218	    139
    9	    217	    110	    217	    110
   10	    217	     83	    217	     83
   11	    214	     56	    217	     55
   12	    212	     31	    217	     27
   13	    207	      9	    218	      0
   14	    186	      6	    191	      0
   15	    162	      3	    164	      0
   16	    137	      1	    137	      0
   17	    109	      0	    109	      0
   18	     83	      0	     83	      0
   19	     58	      3	     55	      0
   20	     34	      6	     29	      0
   21	      8	     32	      2	     27
   22	      6	     56	      2	     55
   23	      3	     83	      2	     82
   24	      2	    110	      2	    110
   25	      3	    138	      2	    137
   26	      4	    165	      2	    166
   27	      9	    190	      2	    194
   28	     33	    215	     29	    218
   29	     12	    212	      2	    218
   30	    110	    111	    110	    111
   31	    141	    110	    137	    110
   32	    141	    142	    137	    138
   33	    110	    142	    110	    138
   34	     79	    142	     83	    138
   35	     51	    141	     55	    138
   36	     24	    140	     29	    138
   37	     24	    111	     29	    110
   38	     49	    110	     56	    110
   39	     78	    110	     83	    110
   40	    170	    111	    164	    110
   41	    195	    110	    190	    110
   42	    194	     81	    190	     82
   43	    192	     54	    191	     54
   44	    167	     51	    164	     55
   45	    189	     28	    190	     26
   46	    164	     25	    164	     26
   47	    137	     23	    137	     27
   48	    109	     22	    109	     27
   49	     81	     23	     83	     27
   50	     54	     25	     56	     27
   51	     30	     29	     29	     27
   52	     27	     53	     28	     54
   53	     25	     81	     29	     82
   54	     50	     80	     56	     82
   55	     52	     51	     56	     54
   56	     81	     49	     83	     55
   57	    109	     49	    110	     54
   58	    139	     49	    136	     54
   59	    141	     79	    137	     83
   60	    169	     79	    164	     82
   61	    110	     78	    110	     82
   62	    169	    141	    164	    138
   63	    194	    140	    190	    138
   64	    110	    173	    110	    166
   65	    139	    172	    137	    166
   66	    167	    170	    164	    166
   67	    192	    167	    190	    166
   68	     80	    172	     83	    166
   69	     52	    170	     56	    166
   70	     27	    167	     29	    165
   71	     30	    193	     29	    194
   72	     55	    196	     56	    194
   73	     82	    198	     82	    193
   74	    110	    198	    110	    194
   75	    138	    198	    136	    194
   76	    164	    196	    164	    193
   77	    189	    192	    190	    193
   78	     79	     79	     83	     82
   79	     13	      9	      2	      0
   80	    209	    211	    217	    218
