Index	xSource	ySource	xTarget	yTarget
    0	   1638	   1045	   1639	   1046
    1	   1308	   1045	   1307	   1047
    2	    976	   1045	    974	   1047
    3	    332	    716	    307	    715
    4	   1642	    713	   1640	    714
    5	    330	    392	    309	    380
    6	   1306	     46	   1307	     48
    7	    648	     60	    641	     49
    8	   1084	     48	   1084	     49
    9	   1529	     46	   1529	     47
   10	    436	    173	    420	    160
   11	    538	    169	    530	    159
   12	    754	    163	    751	    159
   13	    862	    162	    862	    160
   14	   1307	    157	   1307	    160
   15	   1641	    156	   1640	    159
   16	   1857	    158	   1862	    160
   17	    331	    284	    307	    272
   18	    753	    273	    752	    270
   19	    862	    270	    863	    270
   20	   1084	    268	   1085	    266
   21	   1308	    266	   1307	    270
   22	   1531	    266	   1529	    270
   23	   1642	    266	   1641	    270
   24	   1860	    269	   1861	    270
   25	   1968	    270	   1972	    269
   26	    538	    386	    530	    382
   27	    862	    381	    864	    381
   28	   1420	    377	   1417	    381
   29	   1532	    377	   1529	    380
   30	   1752	    378	   1751	    381
   31	    433	    497	    419	    491
   32	    754	    492	    753	    492
   33	    862	    491	    860	    491
   34	   1084	    490	   1085	    489
   35	   1196	    489	   1197	    492
   36	   1420	    488	   1419	    492
   37	   1641	    490	   1641	    492
   38	   1861	    489	   1862	    491
   39	   1969	    493	   1974	    493
   40	    433	    606	    420	    604
   41	    645	    605	    643	    603
   42	    973	    603	    973	    603
   43	   1197	    601	   1194	    602
   44	   1308	    600	   1308	    602
   45	   1420	    601	   1419	    605
   46	   1642	    601	   1642	    603
   47	   1753	    602	   1751	    602
   48	   1862	    602	   1862	    602
   49	   1969	    603	   1973	    602
   50	    435	    713	    418	    714
   51	    541	    715	    529	    713
   52	    754	    714	    753	    714
   53	    864	    713	    865	    715
   54	   1085	    714	   1086	    714
   55	   1419	    713	   1419	    715
   56	   1532	    712	   1528	    713
   57	   1861	    712	   1862	    714
   58	    332	    822	    307	    826
   59	    436	    822	    418	    824
   60	    755	    824	    752	    825
   61	    974	    824	    973	    826
   62	   1085	    824	   1085	    827
   63	   1197	    824	   1197	    824
   64	   1419	    824	   1418	    825
   65	   1640	    823	   1641	    825
   66	   1752	    823	   1750	    825
   67	   1966	    824	   1972	    824
   68	    335	    930	    308	    936
   69	    542	    934	    529	    936
   70	    648	    932	    641	    938
   71	    865	    934	    864	    935
   72	   1085	    935	   1085	    935
   73	   1308	    934	   1307	    937
   74	   1530	    935	   1529	    936
   75	   1750	    934	   1750	    934
   76	   1857	    933	   1862	    936
   77	    442	   1038	    419	   1047
   78	    758	   1043	    752	   1047
   79	   1417	   1044	   1418	   1048
   80	   1746	   1043	   1751	   1048
   81	    342	   1143	    308	   1158
   82	    443	   1144	    420	   1158
   83	    653	   1148	    641	   1159
   84	    760	   1150	    751	   1158
   85	    978	   1152	    975	   1158
   86	   1197	   1154	   1198	   1158
   87	   1307	   1154	   1307	   1158
   88	   1417	   1154	   1418	   1158
   89	   1850	   1150	   1863	   1158
   90	    345	   1246	    308	   1270
   91	    550	   1252	    530	   1270
   92	    655	   1253	    642	   1269
   93	    762	   1255	    751	   1270
   94	    976	   1259	    975	   1269
   95	   1305	   1263	   1306	   1270
