Index	xSource	ySource	xTarget	yTarget
    0	    330	    392	    330	    392
    1	    433	    389	    433	    389
    2	    538	    386	    538	    386
    3	    644	    384	    645	    385
    4	    753	    382	    753	    382
    5	    862	    381	    862	    381
    6	    973	    379	    973	    380
    7	   1084	    378	   1085	    378
    8	   1196	    377	   1196	    378
    9	   1308	    377	   1308	    378
   10	   1420	    377	   1420	    378
   11	   1531	    377	   1531	    377
   12	   1642	    377	   1642	    377
   13	   1752	    378	   1753	    379
   14	   1861	    379	   1861	    380
   15	    330	    500	    330	    500
   16	    433	    497	    434	    498
   17	    538	    496	    539	    497
   18	    645	    494	    646	    495
   19	    753	    493	    754	    494
   20	    863	    491	    863	    492
   21	    974	    491	    974	    491
   22	   1084	    489	   1085	    489
   23	   1196	    489	   1197	    490
   24	   1308	    489	   1309	    490
   25	   1420	    489	   1421	    489
   26	   1532	    489	   1533	    489
   27	   1642	    489	   1643	    490
   28	   1752	    490	   1752	    490
   29	   1862	    491	   1862	    491
   30	    331	    607	    332	    607
   31	    433	    606	    434	    607
   32	    539	    605	    539	    606
   33	    645	    604	    647	    604
   34	    754	    603	    754	    604
   35	    863	    603	    863	    603
   36	    974	    602	    974	    603
   37	   1085	    601	   1085	    601
   38	   1196	    601	   1196	    601
   39	   1308	    601	   1308	    601
   40	   1420	    600	   1421	    601
   41	   1532	    601	   1533	    601
   42	   1643	    601	   1643	    601
   43	   1752	    601	   1753	    600
   44	   1861	    601	   1862	    601
   45	    332	    715	    332	    716
   46	    434	    715	    434	    715
   47	    540	    715	    540	    715
   48	    646	    714	    647	    715
   49	    754	    713	    755	    713
   50	    864	    714	    865	    715
   51	    975	    713	    974	    714
   52	   1085	    713	   1085	    713
   53	   1197	    713	   1197	    714
   54	   1308	    713	   1308	    713
   55	   1419	    713	   1421	    714
   56	   1531	    713	   1532	    714
   57	   1642	    713	   1642	    714
   58	   1751	    713	   1751	    714
   59	   1860	    713	   1861	    714
   60	    333	    823	    334	    823
   61	    436	    823	    436	    823
   62	    541	    823	    542	    823
   63	    647	    823	    647	    825
   64	    755	    824	    755	    825
   65	    864	    824	    865	    825
   66	    975	    824	    975	    825
   67	   1085	    824	   1086	    824
   68	   1197	    824	   1197	    824
   69	   1308	    824	   1309	    825
   70	   1419	    824	   1420	    825
   71	   1530	    824	   1531	    825
   72	   1641	    824	   1641	    824
   73	   1750	    824	   1751	    825
   74	   1858	    823	   1859	    824
   75	    336	    930	    336	    930
   76	    439	    931	    439	    931
   77	    543	    932	    543	    932
   78	    649	    933	    649	    933
   79	    756	    933	    757	    934
   80	    865	    934	    866	    934
   81	    975	    934	    976	    934
   82	   1085	    935	   1085	    935
   83	   1196	    935	   1196	    936
   84	   1308	    935	   1309	    935
   85	   1419	    935	   1419	    936
   86	   1530	    935	   1530	    935
   87	   1639	    934	   1640	    935
   88	   1749	    935	   1749	    935
   89	   1857	    933	   1857	    933
   90	    338	   1036	    338	   1036
   91	    440	   1038	    442	   1038
   92	    545	   1039	    545	   1039
   93	    651	   1040	    650	   1040
   94	    758	   1042	    759	   1044
   95	    866	   1043	    867	   1042
   96	    976	   1044	    977	   1044
   97	   1086	   1044	   1085	   1044
   98	   1196	   1045	   1196	   1046
   99	   1307	   1045	   1308	   1046
  100	   1417	   1045	   1417	   1045
  101	   1529	   1045	   1529	   1045
  102	   1638	   1045	   1639	   1045
  103	   1746	   1043	   1747	   1044
  104	   1854	   1042	   1854	   1042
