Index	xSource	ySource	xTarget	yTarget
    0	    349	   1349	    309	   1380
    1	    658	   1358	    641	   1378
    2	    978	   1366	    973	   1382
    3	   1305	   1368	   1307	   1381
    4	   1629	   1366	   1639	   1379
    5	   1948	   1360	   1972	   1379
    6	   1960	   1042	   1973	   1048
    7	   1638	   1045	   1639	   1046
    8	   1308	   1045	   1307	   1047
    9	    976	   1045	    974	   1047
   10	    650	   1041	    640	   1048
   11	    338	   1036	    307	   1047
   12	    332	    716	    307	    715
   13	    647	    715	    641	    713
   14	    974	    714	    974	    714
   15	   1309	    713	   1306	    713
   16	   1642	    713	   1640	    714
   17	   1967	    713	   1972	    714
   18	   1969	    381	   1973	    380
   19	   1642	    378	   1640	    382
   20	   1308	    378	   1308	    380
   21	    973	    380	    973	    382
   22	    645	    384	    641	    382
   23	    330	    392	    309	    380
   24	   1964	     53	   1973	     49
   25	   1638	     46	   1639	     48
   26	   1306	     46	   1307	     48
   27	    973	     50	    973	     47
   28	    648	     60	    641	     49
   29	    334	     72	    308	     48
   30	    134	     84	     86	     49
   31	    234	     77	    198	     49
   32	    435	     67	    420	     48
   33	    542	     62	    529	     48
   34	    754	     56	    752	     47
   35	    861	     53	    863	     49
   36	   1084	     48	   1084	     49
   37	   1195	     46	   1197	     47
   38	   1416	     45	   1418	     48
   39	   1529	     46	   1529	     47
   40	   1749	     49	   1752	     48
   41	   1856	     50	   1862	     47
   42	   2068	     56	   2084	     48
   43	    132	    188	     87	    159
   44	    232	    182	    197	    159
   45	    332	    178	    309	    159
   46	    436	    173	    420	    160
   47	    538	    169	    530	    159
   48	    646	    167	    641	    159
   49	    754	    163	    751	    159
   50	    862	    162	    862	    160
   51	    973	    159	    974	    158
   52	   1084	    158	   1084	    158
   53	   1196	    157	   1196	    160
   54	   1307	    157	   1307	    160
   55	   1418	    155	   1418	    160
   56	   1529	    155	   1530	    159
   57	   1641	    156	   1640	    159
   58	   1749	    158	   1750	    158
   59	   1857	    158	   1862	    160
   60	   1966	    161	   1973	    160
   61	   2073	    164	   2084	    159
   62	    130	    292	     85	    271
   63	    230	    288	    198	    270
   64	    331	    284	    307	    272
   65	    434	    282	    420	    271
   66	    538	    278	    530	    270
   67	    646	    275	    641	    271
   68	    753	    273	    752	    270
   69	    862	    270	    863	    270
   70	    972	    268	    974	    269
   71	   1084	    268	   1085	    266
   72	   1196	    266	   1196	    269
   73	   1308	    266	   1307	    270
   74	   1419	    265	   1418	    270
   75	   1531	    266	   1529	    270
   76	   1642	    266	   1641	    270
   77	   1750	    268	   1751	    270
   78	   1860	    269	   1861	    270
   79	   1968	    270	   1972	    269
   80	   2074	    273	   2084	    269
   81	    130	    398	     86	    380
   82	    228	    395	    198	    381
   83	    433	    389	    419	    382
   84	    538	    386	    530	    382
   85	    753	    382	    752	    381
   86	    862	    381	    864	    381
   87	   1084	    378	   1084	    380
   88	   1196	    377	   1196	    381
   89	   1420	    377	   1417	    381
   90	   1532	    377	   1529	    380
   91	   1752	    378	   1751	    381
   92	   1861	    378	   1862	    380
   93	   2076	    382	   2085	    381
   94	    129	    504	     86	    492
   95	    229	    501	    198	    491
   96	    330	    500	    308	    493
   97	    433	    497	    419	    491
   98	    538	    496	    530	    492
   99	    645	    494	    640	    493
  100	    754	    492	    753	    492
  101	    862	    491	    860	    491
  102	    973	    491	    975	    491
  103	   1084	    490	   1085	    489
  104	   1196	    489	   1197	    492
  105	   1308	    488	   1307	    490
  106	   1420	    488	   1419	    492
  107	   1532	    488	   1529	    493
  108	   1641	    490	   1641	    492
  109	   1753	    490	   1751	    492
  110	   1861	    489	   1862	    491
  111	   1969	    493	   1974	    493
  112	   2073	    494	   2084	    491
  113	    129	    609	     86	    603
  114	    229	    609	    197	    603
  115	    330	    607	    307	    603
  116	    433	    606	    420	    604
  117	    538	    605	    530	    604
  118	    645	    605	    643	    603
  119	    754	    604	    753	    603
  120	    865	    603	    863	    604
  121	    973	    603	    973	    603
  122	   1085	    601	   1084	    603
  123	   1197	    601	   1194	    602
  124	   1308	    600	   1308	    602
  125	   1420	    601	   1419	    605
  126	   1531	    600	   1530	    600
  127	   1642	    601	   1642	    603
  128	   1753	    602	   1751	    602
  129	   1862	    602	   1862	    602
  130	   1969	    603	   1973	    602
  131	   2074	    602	   2084	    604
  132	    132	    715	     86	    714
  133	    230	    715	    198	    714
  134	    435	    713	    418	    714
  135	    541	    715	    529	    713
  136	    754	    714	    753	    714
  137	    864	    713	    865	    715
  138	   1085	    714	   1086	    714
  139	   1197	    714	   1197	    714
  140	   1419	    713	   1419	    715
  141	   1532	    712	   1528	    713
  142	   1752	    712	   1752	    714
  143	   1861	    712	   1862	    714
  144	   2074	    712	   2084	    713
  145	    134	    823	     86	    825
  146	    232	    823	    197	    826
  147	    332	    822	    307	    826
  148	    436	    822	    418	    824
  149	    542	    823	    530	    826
  150	    648	    823	    641	    825
  151	    755	    824	    752	    825
  152	    864	    825	    863	    826
  153	    974	    824	    973	    826
  154	   1085	    824	   1085	    827
  155	   1197	    824	   1197	    824
  156	   1308	    824	   1307	    826
  157	   1419	    824	   1418	    825
  158	   1530	    824	   1530	    824
  159	   1640	    823	   1641	    825
  160	   1752	    823	   1750	    825
  161	   1858	    823	   1861	    825
  162	   1966	    824	   1972	    824
  163	   2070	    822	   2082	    825
  164	    136	    927	     86	    936
  165	    234	    928	    196	    936
  166	    335	    930	    308	    936
  167	    440	    932	    420	    937
  168	    542	    934	    529	    936
  169	    648	    932	    641	    938
  170	    756	    932	    752	    937
  171	    865	    934	    864	    935
  172	    975	    934	    974	    935
  173	   1085	    935	   1085	    935
  174	   1196	    935	   1196	    935
  175	   1308	    934	   1307	    937
  176	   1419	    936	   1418	    936
  177	   1530	    935	   1529	    936
  178	   1640	    934	   1640	    936
  179	   1750	    934	   1750	    934
  180	   1857	    933	   1862	    936
  181	   1964	    933	   1974	    935
  182	   2068	    931	   2085	    937
  183	    140	   1032	     86	   1047
  184	    238	   1034	    196	   1048
  185	    442	   1038	    419	   1047
  186	    545	   1040	    530	   1048
  187	    758	   1043	    752	   1047
  188	    866	   1043	    863	   1047
  189	   1086	   1044	   1085	   1046
  190	   1196	   1045	   1197	   1047
  191	   1417	   1044	   1418	   1048
  192	   1528	   1045	   1528	   1046
