Index	xSource	ySource	xTarget	yTarget
    0	     18	     16	     21	     19
    1	     77	      7	     83	     20
    2	    146	      2	    145	     20
    3	    215	      8	    208	     20
    4	    274	     17	    270	     20
    5	    283	     76	    270	     82
    6	    226	     65	    208	     82
    7	    145	     57	    146	     82
    8	     66	     65	     83	     82
    9	      8	     76	     22	     82
   10	      2	    145	     21	    144
   11	     57	    144	     83	    144
   12	    145	    146	    146	    144
   13	    233	    145	    208	    144
   14	    287	    146	    269	    144
   15	      7	    214	     21	    206
   16	     65	    225	     83	    207
   17	    146	    233	    146	    207
   18	    226	    225	    207	    206
   19	    283	    214	    270	    207
   20	    274	    273	    270	    269
   21	    216	    281	    208	    269
   22	    145	    287	    145	    269
   23	     76	    281	     83	    269
   24	     18	    272	     21	    269
